iter	Passed	Remaining
0	1	162
1	2	134
2	3	113
3	4	98
4	4	92
5	5	87
6	6	86
7	7	85
8	8	85
9	9	84
10	10	83
11	11	82
12	12	81
13	13	81
14	14	79
15	14	78
16	15	77
17	16	77
18	17	75
19	18	73
20	19	72
21	19	70
22	20	69
23	21	67
24	22	66
25	23	65
26	23	64
27	24	63
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	28	56
34	29	54
35	30	54
36	31	53
37	32	52
38	33	51
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	35
57	47	34
58	48	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	55	23
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	60	18
77	61	17
78	62	16
79	63	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	72	6
92	73	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
